URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/do_ordie/picture/deadgone.dod.txt	chorus just another one dead and gone 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/do_ordie/picture/deadgone.dod.txt	chorus just another one dead and gone 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/do_ordie/victory/already.dod.txt	chorus do or die and e-40		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/do_ordie/victory/keepreal.dod.txt	chorus johnny p + do or die		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/domino/domino/afd.dmn.txt	and listen to the theme of the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/domino/domino/gettojam.dmn.txt	so let's kick the chorus please if ya lyin		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/drag_on/opp_of/herewego.drg.txt	chorus 2x p killer trackz		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/drag_on/opp_of/way_life.drg.txt	chorus 2x case and drag-on		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/e40/charlie/cause.e40.txt	chorus e-40 + jayo felony 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/e40/hallgame/drinking.e40.txt	repeat a first line of b then chorus 5x 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/e40/hallgame/growing.e40.txt	chorus e-40 and lil' e 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/e40/charlie/lookatme.e40.txt	chorus e-40 and hot boys 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/e40/hallgame/record.e40.txt	chorus big lurch & e-40		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ed_og/life_of/im_diff.edg.txt	intro/chorus samples of big daddy kane		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eightbll/lstbonus/cantstop.mjg.txt	chorus too $hort eightball mjg		
